comment,non-information
            // At this point prefer non-index bindings,no
/** Guarded by {@link FSNamesystem#readLock()} */,no
" Braced initializer list, for example as in:  * <pre> int a[]= {1,2,3}; </pre>",no
"Returns the size of the initializer list, including trivial initializers. This size may      * be larger than the length of the array returned by {@link #getInitializers()}.",no
"Returns the list of initializers. Depending on how the ast was created, this may omit      * trivial initializers in order to save memory.",no
"Add an initializer clause to the initializer list. Depending on how the AST is created the      * initializer may be <code>null</code>. A <code>null</code> initializer will not be returned      * by {@link #getInitializers()}, however it contributes to the actual element count (#getSize()).",no
/** Build layout version and corresponding feature matrix */,no
"Enums for features that change the layout version.    * <br><br>    * To add a new layout version:    * <ul>    * <li>Define a new enum constant with a short enum name, the new layout version     * and description of the added feature.</li>",no
DataNodeFeature that is added at layout version {@code lv} - 1.,no
DataNode feature that is added at layout version {@code ancestoryLV}.,no
Returns a string for the given AST used for debugging.,no
     * Returns a string for the given C element used for debugging.,no
Tells whether the given C element is the one      * reported as currently being reconciled.,no
     * Informs that reconciling of the AST of the given translation unit has finished.,no
Informs that reconciling (computation of the AST) for the given element      * is about to be started.,no
     * Check whether the given translation unit is the active element of this cache.,no
     * Set the given translation unit as active element to cache an AST for.,no
     * Creates a new translation unit AST.,no
     * Disposes the cached AST.,no
     * Caches the given AST for the given translation unit.,no
"Releases a shared AST previously acquired by calling      * {@link #acquireSharedAST(ITranslationUnit, IIndex, boolean, IProgressMonitor)}.",no
 * Provides a shared AST of a single translation unit at a time.,no
     * Tells whether this class is in debug mode.,no
/**      * Provides the memory spaces available for the given debug context.      *       * @param context      *            a debug context      * @param request      *            the asynchronous data request object      * @return an array of memory space identifiers      */,no
// New button,no
/** Guarded by {@link FSNamesystem#readLock()} */,no
"/**      * The inverse of {@link #encodeAddress(String, String)}.      *       * @param str      *            the encoded string      * @return the result of decoding the string into its components; never null      * @throws CoreException      *             if decoding and string is not in the expected format      */",no
"/**      * Provides the string encoding of a memory space qualified address. This      * method is called when having to represent a memory-space qualified      * address as a single string.      *       * @param expression      *            the expression representing a location within a memory space.      *            This can be a simple numeric expression like ""0x10000"" or      *            something more complex ""$EAX+(gCustomerCount*100)"".      * @param memorySpaceID      *            a string which represents the memory space      * @return the encoded string representation of the address, or null to      *         indicate no custom encoding is required      */",no
        // Signal AST change,no
// don't report call from disposeAST(),no
// don't report call from disposeAST(),no
"/**      * Retrieves and returns a memory block.      *       * @param expression      *            expression to be evaluated to an address      * @param context      *            a debug context      * @param memorySpaceID      *            the memory space the block is being requested for, or null if      *            n/a      * @return a memory block based on the given parameters      * @throws DebugException      *             if unable to retrieve the specified memory      */",no
Returns a shared AST for the given translation unit and locks it for      * exclusive access. An AST obtained from this method has to be released      * by calling {@link #releaseSharedAST(IASTTranslationUnit)}.      * Subsequent call to this method will block until the AST is released.,no
"Executes {@link ASTRunnable#runOnAST(ILanguage, IASTTranslationUnit)} with the AST      * provided by this cache for the given translation unit. Handles acquiring      * and releasing the index read-lock for the client.",no
